user_id,name,email,gender,city,signup_date
U000001,Angel Hill,donaldgarcia@example.net,Other,New Roberttown,3/13/2025
U000002,Jesse Guzman,jennifermiles@example.com,Male,South Bridget,3/5/2024
U000003,Adam Shaffer,jpeterson@example.org,Male,Curtisfurt,7/7/2025
U000004,Melanie Munoz,blairamanda@example.com,Other,New Kellystad,3/7/2024
U000005,Janet Williams,kendragalloway@example.org,Female,South Joshuastad,1/29/2025
U000006,Michael Santiago,lynchgeorge@example.net,Male,East Steven,4/21/2024
U000007,Sara Watts,gabriellecameron@example.org,Male,Port Antonio,7/3/2024
U000008,Joseph Clark,jason76@example.net,Male,Thomasberg,8/3/2024
U000009,Anna Baker,zhurst@example.com,Other,East William,6/17/2024
U000010,Brandon Rodriguez,laurahenderson@example.org,Male,Jamesmouth,3/3/2024
U000011,Tasha Valencia,frazierdanny@example.net,Other,Kaylamouth,12/27/2024
U000012,Ryan Chavez,teresa28@example.org,Other,Meaganhaven,3/17/2024
U000013,Eric Farmer,georgetracy@example.org,Other,Natashaport,2/20/2025
U000014,John Bradley,millertodd@example.org,Male,East Donna,6/12/2024
U000015,Frederick Rose,ibrandt@example.net,Other,Lake Larry,10/9/2025
U000016,Debra Kim,omartinez@example.org,Female,Andrewside,11/11/2025
U000017,Jeffrey Jones,perezrebecca@example.com,Male,New Johnfort,6/6/2024
U000018,David Walls,esanchez@example.com,Male,North Collin,5/26/2024
U000019,Rodney Owens,nuneztracey@example.org,Male,South Jessicaville,10/21/2024
U000020,James West,dwhite@example.org,Male,South Lindseyside,6/19/2024
U000021,Denise Fernandez,novaksara@example.org,Male,South Todd,3/7/2024
U000022,Richard Brown,ysmith@example.com,Other,Mitchellside,5/26/2024
U000023,Tommy Lee,tanyariley@example.net,Other,Lake Leeton,3/28/2025
U000024,Wesley Farrell,brianromero@example.org,Male,New Carlosbury,2/3/2025
U000025,Shelly Hudson,harveyrobert@example.net,Other,Sarahborough,10/3/2024
U000026,Leon Baker,emilyevans@example.com,Male,North Stephenshire,4/3/2025
U000027,Charles Lewis,david51@example.org,Other,Justinmouth,11/12/2025
U000028,Jade Carr,contrerasangela@example.net,Other,East Josephville,7/24/2025
U000029,Eric Campbell,jenniferharris@example.net,Other,Williamview,5/22/2025
U000030,Meghan Davis,ccalderon@example.org,Other,Kellieview,9/11/2025
U000031,Scott Thornton,rodriguezsierra@example.net,Female,New Barry,4/20/2024
U000032,Angela Jordan,parkerrachel@example.org,Male,Jasonbury,9/9/2024
U000033,Michael Castro,vdickson@example.org,Female,Port Francisco,4/1/2025
U000034,Gregory Gutierrez,jillcook@example.com,Other,West Erik,7/1/2025
U000035,Patrick Williams,dwalker@example.com,Female,Loribury,4/24/2025
U000036,Donna Ross,michelle45@example.net,Male,Frazierside,6/1/2024
U000037,Anthony Wiley,gregory40@example.org,Male,Reedmouth,8/14/2024
U000038,Tracey Wilson,jonathanfletcher@example.org,Other,West Ryan,10/25/2024
U000039,Samantha Hanson,cortezkevin@example.com,Female,Nguyenport,10/11/2025
U000040,James Ortega,lbyrd@example.net,Female,Richardtown,1/14/2025
U000041,Jason Floyd,steven73@example.net,Female,Leonburgh,7/26/2024
U000042,Justin Beck,clarence34@example.org,Male,East Andrew,3/26/2025
U000043,Thomas Atkinson,gibsonolivia@example.net,Male,Lake Heather,6/16/2024
U000044,John Douglas,staffordmichelle@example.org,Female,Robinsonhaven,12/4/2024
U000045,Angela Lowery,bryantlaurie@example.net,Male,Stephaniemouth,11/13/2024
U000046,Jennifer Wagner,vmerritt@example.com,Male,Greenbury,2/23/2025
U000047,Joshua Strickland,rsims@example.com,Female,Lake Justinview,7/28/2025
U000048,Patricia Miller,jessebenson@example.net,Male,North Robert,8/17/2024
